Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-08-01 01:05:00+00:00,3291.51,3291.92,3290.29,3291.3,43,8,0
2025-08-01 01:06:00+00:00,3291.35,3291.45,3290.46,3290.6,30,16,0
2025-08-01 01:07:00+00:00,3290.63,3291.01,3290.63,3290.98,15,10,0
2025-08-01 01:08:00+00:00,3290.92,3291.85,3290.82,3291.75,25,15,0
2025-08-01 01:09:00+00:00,3291.43,3291.51,3291.08,3291.09,21,15,0
2025-08-01 01:10:00+00:00,3291.09,3291.35,3291.09,3291.23,17,16,0
2025-08-01 01:11:00+00:00,3291.1,3291.48,3290.83,3290.99,18,13,0
2025-08-01 01:12:00+00:00,3290.98,3291.82,3290.9,3291.51,16,16,0
2025-08-01 01:13:00+00:00,3291.52,3291.63,3291.41,3291.52,16,16,0
2025-08-01 01:14:00+00:00,3291.39,3291.52,3291.22,3291.3,14,16,0
2025-08-01 01:15:00+00:00,3291.3,3291.3,3291.02,3291.21,30,16,0
2025-08-01 01:16:00+00:00,3291.21,3291.47,3291.18,3291.44,15,16,0
2025-08-01 01:17:00+00:00,3291.43,3291.74,3291.33,3291.72,17,16,0
2025-08-01 01:18:00+00:00,3291.75,3292.43,3291.64,3292.43,13,16,0
2025-08-01 01:19:00+00:00,3292.39,3292.79,3292.39,3292.7,24,16,0
2025-08-01 01:20:00+00:00,3292.71,3292.74,3292.28,3292.52,32,15,0
2025-08-01 01:21:00+00:00,3292.67,3293.15,3292.17,3292.59,32,15,0
2025-08-01 01:22:00+00:00,3292.66,3293.08,3292.56,3293.08,19,16,0
2025-08-01 01:23:00+00:00,3293.1,3293.61,3293.1,3293.59,22,16,0
2025-08-01 01:24:00+00:00,3293.37,3293.59,3293.37,3293.52,15,16,0
2025-08-01 01:25:00+00:00,3293.58,3293.75,3293.35,3293.5,22,16,0
2025-08-01 01:26:00+00:00,3293.54,3293.68,3293.54,3293.58,17,16,0
2025-08-01 01:27:00+00:00,3293.56,3293.56,3293.16,3293.36,30,16,0
2025-08-01 01:28:00+00:00,3293.34,3293.41,3293.05,3293.41,26,16,0
2025-08-01 01:29:00+00:00,3293.34,3293.58,3293.3,3293.34,13,16,0
2025-08-01 01:30:00+00:00,3293.36,3293.37,3293.06,3293.29,19,16,0
2025-08-01 01:31:00+00:00,3293.28,3293.33,3292.77,3293.29,26,16,0
2025-08-01 01:32:00+00:00,3293.44,3293.88,3293.28,3293.44,24,16,0
2025-08-01 01:33:00+00:00,3293.44,3293.72,3293.34,3293.72,14,15,0
2025-08-01 01:34:00+00:00,3293.83,3293.93,3293.44,3293.53,22,15,0
2025-08-01 01:35:00+00:00,3293.51,3293.73,3292.79,3293.47,18,15,0
2025-08-01 01:36:00+00:00,3293.48,3293.58,3293.04,3293.04,19,16,0
2025-08-01 01:37:00+00:00,3292.99,3293.28,3292.78,3293.03,31,15,0
2025-08-01 01:38:00+00:00,3292.92,3293.25,3292.87,3293.24,16,15,0
2025-08-01 01:39:00+00:00,3293.19,3293.86,3293.19,3293.78,29,15,0
2025-08-01 01:40:00+00:00,3293.82,3293.82,3293.53,3293.55,14,15,0
2025-08-01 01:41:00+00:00,3293.57,3293.84,3293.46,3293.46,22,15,0
2025-08-01 01:42:00+00:00,3293.47,3293.66,3293.37,3293.66,13,15,0
2025-08-01 01:43:00+00:00,3293.63,3294.11,3293.08,3294.11,28,15,0
2025-08-01 01:44:00+00:00,3294.1,3294.1,3293.84,3294.01,29,16,0
2025-08-01 01:45:00+00:00,3294.05,3294.21,3293.85,3294.21,21,16,0
2025-08-01 01:46:00+00:00,3294.2,3295.14,3294.13,3294.13,39,16,0
2025-08-01 01:47:00+00:00,3294.5,3295.01,3294.45,3294.98,31,15,0
2025-08-01 01:48:00+00:00,3295.04,3295.05,3294.94,3295.04,23,15,0
2025-08-01 01:49:00+00:00,3295.0,3295.0,3294.62,3294.68,15,15,0
2025-08-01 01:50:00+00:00,3294.32,3294.65,3294.32,3294.41,20,15,0
2025-08-01 01:51:00+00:00,3294.39,3294.45,3293.73,3293.87,24,15,0
2025-08-01 01:52:00+00:00,3293.88,3293.88,3293.5,3293.64,15,15,0
